Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;4564;1215.3;219;58.3;0;0
m;10-19;8121;2039.7;280;70.3;0;0
m;20-29;14169;2873.5;472;95.7;2;0.4
m;30-39;11817;2438.7;386;79.7;8;1.7
m;40-49;10558;2202.8;365;76.2;25;5.2
m;50-59;12812;1931.7;444;66.9;71;10.7
m;60-69;7272;1471.7;242;49;230;46.5
m;70-79;4197;1210;128;36.9;521;150.2
m;80-89;4008;2099.1;101;52.9;999;523.2
m;90+;1036;4769.6;16;73.7;358;1648.2
w;0-9;4107;1152.8;166;46.6;0;0
w;10-19;8085;2164.8;323;86.5;0;0
w;20-29;13832;3122.7;404;91.2;2;0.5
w;30-39;11631;2492;383;82.1;2;0.4
w;40-49;11963;2469.5;377;77.8;16;3.3
w;50-59;13806;2082.3;426;64.3;38;5.7
w;60-69;7161;1380.3;240;46.3;119;22.9
w;70-79;4364;1094.7;160;40.1;287;72
w;80-89;7096;2511.8;157;55.6;996;352.6
w;90+;3454;5834.7;58;98;662;1118.3
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
