Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;5978;1591.8;543;144.6;0;0
m;10-19;9675;2430;540;135.6;0;0
m;20-29;16562;3358.8;811;164.5;2;0.4
m;30-39;14122;2914.3;773;159.5;12;2.5
m;40-49;12540;2616.3;640;133.5;27;5.6
m;50-59;14994;2260.7;748;112.8;87;13.1
m;60-69;8416;1703.2;362;73.3;261;52.8
m;70-79;4750;1369.4;179;51.6;571;164.6
m;80-89;4301;2252.6;89;46.6;1097;574.5
m;90+;1092;5027.4;23;105.9;390;1795.5
w;0-9;5370;1507.4;459;128.8;0;0
w;10-19;9550;2557;481;128.8;0;0
w;20-29;15914;3592.8;705;159.2;2;0.5
w;30-39;13764;2949;725;155.3;5;1.1
w;40-49;13812;2851.2;616;127.2;18;3.7
w;50-59;15779;2379.9;651;98.2;46;6.9
w;60-69;8248;1589.8;368;70.9;138;26.6
w;70-79;4944;1240.1;173;43.4;332;83.3
w;80-89;7552;2673.2;119;42.1;1090;385.8
w;90+;3603;6086.4;45;76;720;1216.3
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;2;;0;;0;
d;40-49;2;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
