Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;3579;953;207;55.1;0;0
m;10-19;6865;1724.2;296;74.3;0;0
m;20-29;11946;2422.6;553;112.1;2;0.4
m;30-39;9834;2029.4;446;92;6;1.2
m;40-49;8733;1822;384;80.1;20;4.2
m;50-59;10504;1583.7;512;77.2;45;6.8
m;60-69;5916;1197.3;346;70;167;33.8
m;70-79;3405;981.7;222;64;358;103.2
m;80-89;3198;1674.9;275;144;695;364
m;90+;801;3687.7;72;331.5;254;1169.4
w;0-9;3271;918.2;171;48;0;0
w;10-19;6755;1808.7;281;75.2;0;0
w;20-29;11679;2636.7;503;113.6;1;0.2
w;30-39;9645;2066.5;460;98.6;1;0.2
w;40-49;9919;2047.5;485;100.1;12;2.5
w;50-59;11418;1722.1;611;92.2;29;4.4
w;60-69;5904;1138;327;63;78;15
w;70-79;3534;886.5;223;55.9;183;45.9
w;80-89;5721;2025;408;144.4;659;233.3
w;90+;2789;4711.3;206;348;469;792.3
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;1;;0;;0;
d;40-49;1;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
