Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;3111;828.4;190;50.6;0;0
m;10-19;6158;1546.6;375;94.2;1;0.3
m;20-29;10702;2170.4;769;156;2;0.4
m;30-39;8778;1811.5;675;139.3;5;1
m;40-49;7852;1638.2;563;117.5;17;3.5
m;50-59;9342;1408.5;681;102.7;33;5
m;60-69;5191;1050.5;402;81.4;133;26.9
m;70-79;2922;842.4;257;74.1;274;79
m;80-89;2653;1389.5;320;167.6;562;294.3
m;90+;650;2992.5;82;377.5;177;814.9
w;0-9;2895;812.6;175;49.1;0;0
w;10-19;6085;1629.3;402;107.6;0;0
w;20-29;10440;2356.9;876;197.8;1;0.2
w;30-39;8616;1846;678;145.3;1;0.2
w;40-49;8844;1825.6;673;138.9;9;1.9
w;50-59;10070;1518.8;811;122.3;23;3.5
w;60-69;5148;992.3;427;82.3;57;11
w;70-79;3026;759;311;78;144;36.1
w;80-89;4724;1672.1;568;201.1;517;183
w;90+;2274;3841.3;277;467.9;377;636.8
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;1;;0;
d;30-39;1;;0;;0;
d;40-49;1;;1;;0;
d;50-59;0;;0;;0;
d;60-69;0;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
