Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;2901;772.5;159;42.3;1;0.3
m;10-19;5733;1439.9;274;68.8;1;0.3
m;20-29;9833;1994.1;580;117.6;2;0.4
m;30-39;7995;1649.9;463;95.5;5;1
m;40-49;7209;1504.1;411;85.7;17;3.5
m;50-59;8562;1290.9;581;87.6;30;4.5
m;60-69;4721;955.4;351;71;115;23.3
m;70-79;2625;756.8;220;63.4;248;71.5
m;80-89;2299;1204.1;244;127.8;474;248.2
m;90+;558;2568.9;72;331.5;156;718.2
w;0-9;2693;755.9;130;36.5;1;0.3
w;10-19;5633;1508.2;306;81.9;0;0
w;20-29;9439;2131;632;142.7;1;0.2
w;30-39;7834;1678.5;578;123.8;1;0.2
w;40-49;8084;1668.7;536;110.6;9;1.9
w;50-59;9119;1375.4;666;100.5;22;3.3
w;60-69;4658;897.8;375;72.3;45;8.7
w;70-79;2675;671;234;58.7;130;32.6
w;80-89;4082;1444.9;422;149.4;432;152.9
w;90+;1953;3299.1;236;398.7;308;520.3
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;0;;0;;0;
d;30-39;1;;0;;0;
d;40-49;0;;0;;0;
d;50-59;0;;0;;0;
d;60-69;0;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
