Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;3567;949.8;219;58.3;0;0
m;10-19;6837;1717.2;304;76.4;0;0
m;20-29;11923;2418;564;114.4;2;0.4
m;30-39;9799;2022.2;440;90.8;6;1.2
m;40-49;8713;1817.9;391;81.6;20;4.2
m;50-59;10475;1579.4;516;77.8;45;6.8
m;60-69;5898;1193.6;347;70.2;165;33.4
m;70-79;3391;977.6;234;67.5;356;102.6
m;80-89;3178;1664.4;274;143.5;693;362.9
m;90+;797;3669.3;72;331.5;250;1151
w;0-9;3254;913.4;180;50.5;0;0
w;10-19;6739;1804.4;307;82.2;0;0
w;20-29;11645;2629;501;113.1;1;0.2
w;30-39;9612;2059.4;452;96.8;1;0.2
w;40-49;9885;2040.5;480;99.1;12;2.5
w;50-59;11384;1717;615;92.8;29;4.4
w;60-69;5886;1134.5;327;63;78;15
w;70-79;3514;881.4;220;55.2;184;46.2
w;80-89;5697;2016.6;424;150.1;655;231.8
w;90+;2775;4687.7;208;351.4;467;788.9
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;1;;0;;0;
d;40-49;1;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
