Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;3370;897.3;232;61.8;0;0
m;10-19;6566;1649.1;384;96.4;1;0.3
m;20-29;11390;2309.9;637;129.2;2;0.4
m;30-39;9374;1934.5;546;112.7;5;1
m;40-49;8346;1741.3;467;97.4;17;3.5
m;50-59;9976;1504.1;597;90;39;5.9
m;60-69;5565;1126.2;341;69;148;30
m;70-79;3173;914.8;234;67.5;312;89.9
m;80-89;2921;1529.8;253;132.5;622;325.8
m;90+;729;3356.2;81;372.9;211;971.4
w;0-9;3097;869.3;182;51.1;0;0
w;10-19;6468;1731.8;358;95.9;0;0
w;20-29;11163;2520.2;652;147.2;1;0.2
w;30-39;9171;1964.9;500;107.1;1;0.2
w;40-49;9414;1943.3;534;110.2;10;2.1
w;50-59;10796;1628.3;675;101.8;24;3.6
w;60-69;5567;1073;387;74.6;71;13.7
w;70-79;3306;829.3;268;67.2;163;40.9
w;80-89;5285;1870.7;529;187.2;588;208.1
w;90+;2583;4363.3;297;501.7;423;714.6
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;1;;0;;0;
d;40-49;1;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
