Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;3528;939.4;206;54.9;0;0
m;10-19;6788;1704.9;296;74.3;0;0
m;20-29;11843;2401.8;561;113.8;2;0.4
m;30-39;9747;2011.5;460;94.9;6;1.2
m;40-49;8664;1807.6;408;85.1;20;4.2
m;50-59;10418;1570.8;511;77;44;6.6
m;60-69;5861;1186.1;357;72.2;163;33
m;70-79;3360;968.7;231;66.6;351;101.2
m;80-89;3146;1647.7;276;144.6;688;360.3
m;90+;788;3627.8;74;340.7;246;1132.5
w;0-9;3230;906.7;188;52.8;0;0
w;10-19;6704;1795;326;87.3;0;0
w;20-29;11578;2613.9;515;116.3;1;0.2
w;30-39;9546;2045.3;471;100.9;1;0.2
w;40-49;9821;2027.3;490;101.1;12;2.5
w;50-59;11299;1704.2;623;94;29;4.4
w;60-69;5848;1127.2;343;66.1;78;15
w;70-79;3492;875.9;242;60.7;182;45.7
w;80-89;5636;1995;438;155;651;230.4
w;90+;2748;4642;231;390.2;463;782.1
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;1;;0;;0;
d;40-49;1;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
