Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;2809;748;187;49.8;1;0.3
m;10-19;5551;1394.2;266;66.8;1;0.3
m;20-29;9431;1912.6;576;116.8;2;0.4
m;30-39;7676;1584.1;502;103.6;5;1
m;40-49;6914;1442.5;413;86.2;17;3.5
m;50-59;8185;1234.1;622;93.8;30;4.5
m;60-69;4467;904;313;63.3;114;23.1
m;70-79;2479;714.7;239;68.9;239;68.9
m;80-89;2135;1118.2;213;111.6;447;234.1
m;90+;510;2348;53;244;141;649.1
w;0-9;2621;735.7;162;45.5;1;0.3
w;10-19;5423;1452;317;84.9;0;0
w;20-29;9029;2038.4;637;143.8;1;0.2
w;30-39;7432;1592.3;564;120.8;1;0.2
w;40-49;7703;1590.1;535;110.4;9;1.9
w;50-59;8665;1306.9;717;108.1;21;3.2
w;60-69;4385;845.2;338;65.1;39;7.5
w;70-79;2508;629.1;206;51.7;127;31.9
w;80-89;3777;1336.9;347;122.8;401;141.9
w;90+;1783;3011.9;187;315.9;280;473
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;0;;0;;0;
d;30-39;1;;0;;0;
d;40-49;0;;0;;0;
d;50-59;0;;0;;0;
d;60-69;0;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
