Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;2910;774.9;135;35.9;1;0.3
m;10-19;5755;1445.4;262;65.8;1;0.3
m;20-29;9870;2001.6;552;111.9;2;0.4
m;30-39;8038;1658.8;458;94.5;5;1
m;40-49;7239;1510.3;402;83.9;17;3.5
m;50-59;8608;1297.9;553;83.4;30;4.5
m;60-69;4750;961.3;342;69.2;115;23.3
m;70-79;2642;761.7;219;63.1;250;72.1
m;80-89;2310;1209.8;233;122;476;249.3
m;90+;560;2578.2;70;322.3;157;722.8
w;0-9;2704;759;118;33.1;1;0.3
w;10-19;5656;1514.4;282;75.5;0;0
w;20-29;9479;2140;594;134.1;1;0.2
w;30-39;7872;1686.6;560;120;1;0.2
w;40-49;8110;1674.1;501;103.4;9;1.9
w;50-59;9175;1383.8;649;97.9;23;3.5
w;60-69;4683;902.6;371;71.5;45;8.7
w;70-79;2688;674.3;228;57.2;130;32.6
w;80-89;4105;1453;414;146.5;433;153.3
w;90+;1967;3322.7;234;395.3;310;523.7
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;0;;0;;0;
d;30-39;1;;0;;0;
d;40-49;0;;0;;0;
d;50-59;0;;0;;0;
d;60-69;0;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
