Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;3311;881.6;214;57;0;0
m;10-19;6476;1626.5;373;93.7;1;0.3
m;20-29;11256;2282.7;655;132.8;2;0.4
m;30-39;9261;1911.2;554;114.3;5;1
m;40-49;8243;1719.8;471;98.3;17;3.5
m;50-59;9878;1489.4;626;94.4;38;5.7
m;60-69;5483;1109.6;335;67.8;148;30
m;70-79;3115;898;214;61.7;311;89.7
m;80-89;2859;1497.4;253;132.5;614;321.6
m;90+;709;3264.1;75;345.3;208;957.6
w;0-9;3034;851.7;167;46.9;0;0
w;10-19;6356;1701.8;345;92.4;0;0
w;20-29;11028;2489.7;668;150.8;1;0.2
w;30-39;9042;1937.3;486;104.1;1;0.2
w;40-49;9290;1917.7;535;110.4;10;2.1
w;50-59;10652;1606.6;660;99.5;24;3.6
w;60-69;5480;1056.3;374;72.1;70;13.5
w;70-79;3233;811;253;63.5;162;40.6
w;80-89;5161;1826.8;523;185.1;580;205.3
w;90+;2509;4238.3;274;462.9;420;709.5
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;1;;0;
d;30-39;1;;0;;0;
d;40-49;1;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
