Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;2833;754.3;178;47.4;1;0.3
m;10-19;5604;1407.5;263;66.1;1;0.3
m;20-29;9556;1938;578;117.2;2;0.4
m;30-39;7773;1604.1;484;99.9;5;1
m;40-49;7011;1462.8;430;89.7;17;3.5
m;50-59;8291;1250.1;605;91.2;30;4.5
m;60-69;4549;920.6;313;63.3;115;23.3
m;70-79;2516;725.4;227;65.4;244;70.3
m;80-89;2174;1138.6;203;106.3;459;240.4
m;90+;518;2384.8;50;230.2;150;690.6
w;0-9;2640;741.1;143;40.1;1;0.3
w;10-19;5482;1467.8;298;79.8;0;0
w;20-29;9150;2065.7;630;142.2;1;0.2
w;30-39;7528;1612.9;539;115.5;1;0.2
w;40-49;7822;1614.7;532;109.8;9;1.9
w;50-59;8805;1328;699;105.4;21;3.2
w;60-69;4476;862.8;340;65.5;40;7.7
w;70-79;2560;642.1;211;52.9;129;32.4
w;80-89;3838;1358.5;326;115.4;423;149.7
w;90+;1814;3064.3;177;299;290;489.9
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;0;;0;;0;
d;30-39;1;;0;;0;
d;40-49;0;;0;;0;
d;50-59;0;;0;;0;
d;60-69;0;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
