Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;3612;961.8;193;51.4;0;0
m;10-19;6906;1734.5;274;68.8;0;0
m;20-29;12055;2444.7;489;99.2;2;0.4
m;30-39;9920;2047.2;411;84.8;6;1.2
m;40-49;8830;1842.3;354;73.9;20;4.2
m;50-59;10621;1601.4;467;70.4;48;7.2
m;60-69;6004;1215.1;324;65.6;175;35.4
m;70-79;3469;1000.1;196;56.5;376;108.4
m;80-89;3257;1705.8;233;122;726;380.2
m;90+;824;3793.6;59;271.6;260;1197
w;0-9;3299;926;165;46.3;0;0
w;10-19;6816;1825;260;69.6;0;0
w;20-29;11805;2665.1;484;109.3;1;0.2
w;30-39;9753;2089.6;443;94.9;1;0.2
w;40-49;10058;2076.2;497;102.6;12;2.5
w;50-59;11553;1742.5;549;82.8;31;4.7
w;60-69;5981;1152.8;301;58;81;15.6
w;70-79;3607;904.8;216;54.2;196;49.2
w;80-89;5846;2069.3;391;138.4;691;244.6
w;90+;2847;4809.3;179;302.4;490;827.7
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;1;;0;;0;
d;40-49;1;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
