Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;3142;836.6;198;52.7;0;0
m;10-19;6204;1558.2;372;93.4;1;0.3
m;20-29;10795;2189.2;764;154.9;2;0.4
m;30-39;8856;1827.6;666;137.4;5;1
m;40-49;7899;1648;545;113.7;16;3.3
m;50-59;9422;1420.6;673;101.5;35;5.3
m;60-69;5244;1061.3;398;80.5;137;27.7
m;70-79;2952;851.1;252;72.7;287;82.7
m;80-89;2679;1403.1;300;157.1;577;302.2
m;90+;657;3024.7;80;368.3;188;865.5
w;0-9;2922;820.2;182;51.1;1;0.3
w;10-19;6133;1642.1;403;107.9;0;0
w;20-29;10535;2378.4;840;189.6;1;0.2
w;30-39;8690;1861.9;662;141.8;1;0.2
w;40-49;8904;1838;638;131.7;10;2.1
w;50-59;10161;1532.6;780;117.6;24;3.6
w;60-69;5194;1001.1;427;82.3;61;11.8
w;70-79;3055;766.3;304;76.3;147;36.9
w;80-89;4792;1696.2;562;198.9;532;188.3
w;90+;2302;3888.6;274;462.9;387;653.7
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;1;;0;
d;30-39;1;;0;;0;
d;40-49;1;;0;;0;
d;50-59;0;;0;;0;
d;60-69;0;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
