Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;3449;918.4;217;57.8;0;0
m;10-19;6676;1676.7;325;81.6;0;0
m;20-29;11645;2361.6;567;115;2;0.4
m;30-39;9588;1978.7;480;99.1;6;1.2
m;40-49;8532;1780.1;430;89.7;20;4.2
m;50-59;10239;1543.8;533;80.4;42;6.3
m;60-69;5736;1160.8;353;71.4;157;31.8
m;70-79;3304;952.5;241;69.5;341;98.3
m;80-89;3056;1600.5;285;149.3;663;347.2
m;90+;772;3554.2;88;405.1;236;1086.5
w;0-9;3160;887;183;51.4;0;0
w;10-19;6601;1767.4;339;90.8;0;0
w;20-29;11409;2575.7;578;130.5;1;0.2
w;30-39;9372;2008;465;99.6;1;0.2
w;40-49;9634;1988.7;497;102.6;11;2.3
w;50-59;11101;1674.3;644;97.1;29;4.4
w;60-69;5734;1105.2;375;72.3;77;14.8
w;70-79;3414;856.4;269;67.5;176;44.1
w;80-89;5488;1942.6;510;180.5;635;224.8
w;90+;2681;4528.9;286;483.1;448;756.8
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;0;;0;
d;30-39;1;;0;;0;
d;40-49;1;;0;;0;
d;50-59;0;;0;;0;
d;60-69;1;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
