Geschlecht;Altersgruppe;"Anzahl Fälle";"Fälle pro 100.000 Einwohner";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner";"verstorbene Fälle";"verstorbene Fälle pro 100.000 Einwohner"
m;0-9;3272;871.2;217;57.8;0;0
m;10-19;6411;1610.2;368;92.4;1;0.3
m;20-29;11167;2264.7;684;138.7;2;0.4
m;30-39;9187;1895.9;576;118.9;5;1
m;40-49;8175;1705.6;470;98.1;17;3.5
m;50-59;9801;1477.7;640;96.5;37;5.6
m;60-69;5433;1099.5;354;71.6;145;29.3
m;70-79;3088;890.3;221;63.7;307;88.5
m;80-89;2824;1479;255;133.6;606;317.4
m;90+;705;3245.7;73;336.1;204;939.2
w;0-9;3005;843.5;173;48.6;0;0
w;10-19;6303;1687.6;339;90.8;0;0
w;20-29;10934;2468.5;699;157.8;1;0.2
w;30-39;8966;1921;518;111;1;0.2
w;40-49;9215;1902.2;549;113.3;10;2.1
w;50-59;10563;1593.2;689;103.9;24;3.6
w;60-69;5420;1044.7;389;75;65;12.5
w;70-79;3195;801.4;254;63.7;159;39.9
w;80-89;5094;1803.1;553;195.7;570;201.8
w;90+;2464;4162.3;273;461.2;412;696
d;0-9;0;;0;;0;
d;10-19;1;;0;;0;
d;20-29;1;;1;;0;
d;30-39;1;;0;;0;
d;40-49;1;;0;;0;
d;50-59;0;;0;;0;
d;60-69;0;;0;;0;
d;70-79;0;;0;;0;
d;80-89;0;;0;;0;
d;90+;0;;0;;0;
